headline,date,doc_type,material_type,section,keywords
‘GOLD RUSH’ SET OFF BY DOLLAR'S SLUMP,1978-01-04,article,Archives,,['Currency']
Metals Futures Prices End Mixed,1978-01-25,article,Archives,,[]
U.S. Planning Lapse Of Gold‐Curb Pact,1978-01-20,article,Archives,,['Currency']
Dollar Strengthens In Trading Abroad; Gold Is Off Slightly,1978-01-27,article,Archives,,[]
LID ON DOLLAR PURCHASES OF GOLD TO LAPSE JAN. 31,1978-01-24,article,Archives,,"['Gold', 'Currency']"
Dollar Edges Ahead In Trading Abroad; Gold Also Increases,1978-01-28,article,Archives,,[]
Dollar Gains With U.S. Aid: Gold Also Up,1978-01-10,article,Archives,,[]
Money,1978-01-27,article,Archives,,[]
Money,1978-01-25,article,Archives,,[]
Money,1978-01-19,article,Archives,,[]
