headline,date,doc_type,material_type,section,keywords
"No Gold Streets, the Vietnamese Found",1978-06-10,article,Archives,,['REFUGEES AND EXPATRIATES']
CURRENCY MARKETS Dollar Lower Abroad; Gold Declines Slightly,1978-06-09,article,Archives,,[]
CURRENCY MARKETS,1978-06-08,article,Archives,,[]
Prices of Cattle Futures Decline by 1.5c a Pound,1978-06-13,article,Archives,,[]
CURRENCY MARKETS Dollar Retreats Broadly,1978-06-24,article,Archives,,['Currency']
CURRENCY MARKETS,1978-06-06,article,Archives,,[]
TV Talk Shows Leave a Trail of Gold,1978-06-09,article,Archives,,"['TELEVISION AND RADIO', 'PROGRAMS']"
CURRENCY MARKETS,1978-06-29,article,Archives,,['Currency']
Dollar Plunges in Tokyo,1978-06-21,article,Archives,,"['COMMERCE', 'Currency']"
BUSINESS Digest.,1978-06-30,article,Archives,,[]
