headline,date,doc_type,material_type,section,keywords
Your Money,1979-06-09,article,Archives,,['Gold']
CURRENCY MARKETS,1979-06-07,article,Archives,,"['Gold', 'Currency', 'INTERNATIONAL MONETARY SYSTEM']"
CURRENCY MARKETS,1979-06-26,article,Archives,,['Gold']
Cash Prices,1979-06-13,article,Archives,,[]
Cash Prices,1979-06-15,article,Archives,,[]
"Market Marks Time While Some Oils, Golds and Gambling Issues Post Gains",1979-06-01,article,Archives,,[]
CURRENCY MARKETS,1979-06-15,article,Archives,,[]
Bond Prices Take a Sharp Drop,1979-06-01,article,Archives,,[]
A ‘Cheap Shot’ Turns to Gold,1979-06-10,article,Archives,,[]
BUSINESS,1979-06-02,article,Archives,,[]
