headline,date,doc_type,material_type,section,keywords
"SATURDAY, OCTOBER 9, 1982; The Economy",1982-10-09,article,Summary,,['NO INDEX TERMS']
"WEDNESDAY, OCTOBER 6, 1982; Companies",1982-10-06,article,Summary,,['NO INDEX TERMS']
"THURSDAY, OCTOBER 7, 1982; Markets",1982-10-07,article,Summary,,['NO INDEX TERMS']
"FRIDAY, OCTOBER 8, 1982; Markets",1982-10-08,article,Summary,,['NO INDEX TERMS']
"SATURDAY, OCTOBER 30, 1982; International",1982-10-30,article,Summary,,['NO INDEX TERMS']
"SATURDAY, OCTOBER 16, 1982; The Economy",1982-10-16,article,Summary,,['NO INDEX TERMS']
"FRIDAY, OCTOBER 29, 1982; Markets",1982-10-29,article,Summary,,['NO INDEX TERMS']
"THURSDAY, OCTOBER 14, 1982; The Economy",1982-10-14,article,Summary,,['NO INDEX TERMS']
"WEDNESDAY, OCTOBER 13, 1982; The Economy",1982-10-13,article,Summary,,['NO INDEX TERMS']
"THURSDAY, OCTOBER 28, 1982; International",1982-10-28,article,Summary,,['NO INDEX TERMS']
