Date,Average Price,PercChangeForc,PercChangeLag1,PercChangeLag2,PercChangeLag3,PercChangeLag4,PercChangeLag5,2MA,3MA,Inf.Rate.MoM,Inf.L1,Inf.L2,Inf.L3,Inf.L4,Res.Change.Exc.Gold,UM.Infl.Exp,UM.Con.Sent,Indus.Prod.Ind,Nasdaq.Change.MoM,NFCI,FedFundsRate,FedFundsRateL1,Oil,PercChange.oil,PPIJewelry,PercChange.PPI
31/12/1978,207.8,9.384023099,,,,,,,,0.93394,,,,,-13.1079,7.3,66.1,18.8587,2.73927,1.854,10.03,,9.47,,57.3,
31/01/1979,227.3,8.095028597,9.384023099,,,,,,,1.07389,0.93394,,,,10.33653,7.8,72.1,18.124,5.51792,1.3525,10.07,10.03,9.46,-0.1055966209,58.7,2.443280977
28/02/1979,245.7,-1.465201465,8.095028597,9.384023099,,,,8.739525848,,0.39425,1.07389,0.93394,,,27.18704,9.3,73.9,17.5308,0.6715,0.825,10.06,10.07,9.69,2.431289641,62,5.621805792
30/03/1979,242.1,-1.197852127,-1.465201465,8.095028597,9.384023099,,,3.314913566,5.337950077,1.02503,0.39425,1.07389,0.93394,,-1.45682,8.8,68.4,17.2653,2.83544,0.428,10.09,10.06,9.83,1.444788442,62.6,0.9677419355
30/04/1979,239.2,7.692307692,-1.197852127,-1.465201465,8.095028597,9.384023099,,-1.331526796,1.810658335,0.88286,1.02503,0.39425,1.07389,0.93394,16.36438,9.7,66,16.8854,4.18881,0.32,10.01,10.09,10.33,5.08646999,62.8,0.3194888179
31/05/1979,257.6,8.346273292,7.692307692,-1.197852127,-1.465201465,8.095028597,9.384023099,3.247227783,1.676418033,0.47022,0.88286,1.02503,0.39425,1.07389,-1.90551,9.8,68.1,17.0833,-1.57133,0.435,10.24,10.01,10.71,3.678606002,64.9,3.343949045
29/06/1979,279.1,5.589394482,8.346273292,7.692307692,-1.197852127,-1.465201465,8.095028597,8.019290492,4.946909619,1.32605,0.47022,0.88286,1.02503,0.39425,9.61407,9.9,65.8,17.8613,3.26679,0.71,10.29,10.24,11.7,9.243697479,67.8,4.468412943
31/07/1979,294.7,2.069901595,5.589394482,8.346273292,7.692307692,-1.197852127,-1.465201465,6.967833887,7.209325155,1.08417,1.32605,0.47022,0.88286,1.02503,-9.13909,9.9,60.4,17.6767,2.16821,1.03,10.47,10.29,13.39,14.44444444,70,3.244837758
31/08/1979,300.8,18.0518617,2.069901595,5.589394482,8.346273292,7.692307692,-1.197852127,3.829648039,5.33518979,0.66002,1.08417,1.32605,0.47022,0.88286,-11.96978,9.9,64.5,19.4906,5.84871,1.416,10.94,10.47,14,4.555638536,70.5,0.7142857143
28/09/1979,355.1,10.30695579,18.0518617,2.069901595,5.589394482,8.346273292,7.692307692,10.06088165,8.570385926,1.85991,0.66002,1.08417,1.32605,0.47022,0.36875,9.6,66.7,20.2075,1.71662,1.9125,11.43,10.94,14.57,4.071428571,76.5,8.510638298
31/10/1979,391.7,0.07658922645,10.30695579,18.0518617,2.069901595,5.589394482,8.346273292,14.17940874,10.14290636,1.13271,1.85991,0.66002,1.08417,1.32605,-16.58534,9,62.1,18.9242,-5.81565,2.3225,13.77,11.43,15.06,3.363074811,86.2,12.67973856
30/11/1979,392,16.09693878,0.07658922645,10.30695579,18.0518617,2.069901595,5.589394482,5.191772507,9.478468905,0.47127,1.13271,1.85991,0.66002,1.08417,-6.92136,10,63.3,18.7314,-1.24081,2.422,13.18,13.77,15.52,3.054448871,87.8,1.856148492
31/12/1979,455.1,48.38497034,16.09693878,0.07658922645,10.30695579,18.0518617,2.069901595,8.086764001,8.82682793,0.95638,0.47127,1.13271,1.85991,0.66002,19.80068,9.9,61,18.4651,7.18074,2.0725,13.78,13.18,17,9.536082474,96,9.339407745
31/01/1980,675.3,-1.480823338,48.38497034,16.09693878,0.07658922645,10.30695579,18.0518617,32.24095456,21.51949945,0.54305,0.95638,0.47127,1.13271,1.85991,-4.7571,10.4,67,18.174,4.29746,1.7925,13.82,13.78,17.86,5.058823529,117.6,22.5
